autor_comentario,autor_endereco,comentario_corpo,comentario_data,comentario_titulo
Mauricio F,8 contribuições,"Bom local, aos domingos lota,familias,amigos e etc se reúnem para uma boa descontração pois além de bonito o parque é enorme.",Feita em 31 de março de 2016,Melhor parque da Cidade
Andre Alberti,49 contribuições,"ótimo para passeio em familia, romantico e até mesmo para aquela corrida no parque. Vale muito a pena conhecer.",Feita em 31 de março de 2016,Lindo
nay0liveira,"Curitiba, PR","Particularmente é o parques que eu mais gosto, pois ele é enorme, pode andar de roller, bike, fazer churrasco, ir com amigos, familia, enfim, tem uma variedade incrivel de atividades pra fazer. Maravilhoso o paraque!",Feita em 31 de março de 2016,Parque ideal
manoelpompeu,"Curitiba, PR","Para quem gosta de área verde é uma excelente opção de diversão. É um programa muito bom, lá você pode fazer a sua corrida, caminhada, andar de bicicleta e fazer um lanche com sua família em baixo de uma árvore. Recomendo!",Feita em 30 de março de 2016,"""Natureza"""
Douglas R,"São Paulo, SP","O parque Barigui fica em uma região nobre de Curitiba, com belas casas ao redor.",Feita em 30 de março de 2016,Excelente para atividades físicas
Tayanaortix,"Manaus, AM","Fui no verão. Ótimo lugar para caminhar, conversar, levar as crianças para brincar. A vista é muito bonita e o local é bem limpo.",Feita em 30 de março de 2016,Lugar agradável
moises m,32 contribuições,"Vista muito bonita, possui espaço para passear com cães, corrida, bicicleta, patins, volei, etc. Bem cheio nos fins de semana.",Feita em 30 de março de 2016,Bom para passar a tarde
29nadi,"Joinville, SC",Demais para praticar atividades físicas. Tem uma pista bastante extensa para corrida.,Feita em 30 de março de 2016,Show
Raica2014,"Curitiba, PR","Parque maravilhoso, altamente frequentado pelo curitibano. Muito procurado para a prática de exercícios, pela manhã. À noite, é perigoso, pois a iluminacão é deficiente e não há policiamento.",Feita em 30 de março de 2016,Lindo local
mahrodriguesalves,"Curitiba, PR","O parque é ótimo para lazer em família, pratica de exercícios e contato com a natureza.",Feita em 30 de março de 2016,Beleza Natural
André C,4 contribuições,"Um dos maiores parques de Curitiba, local ótimo para atletas amadores, variedade de fauna e flora, local para exposições! ",Feita em 30 de março de 2016,Um dos maiores parques 
Isaschimitz,"Curitiba, PR","Perfeito para caminhar, correr, praticar esportes e dar um tempo da rotina. Possui restaurante, bar, helicóptero, museu, exposições, etc.",Feita em 30 de março de 2016,Natureza
Evelyn s,"Curitiba, PR","Evitar aos domingos que é super cheio, mal frequentado e quase não acha vaga para estacionar.",Feita em 30 de março de 2016,boa infraestrutura para correr
zecatau,"Curitiba, Brazil","Passeio super agradável, uma extensa área verde com restaurante, barzinho delicioso a beira da lagoa para um gostoso happy hour.  Lugar lindo !!!!   Vocês tem que conhecer.",Feita em 30 de março de 2016,"Parque maravilhoso, muito verde e muitas e muitas pessoas lindas !!!!"
Murillo G,16 contribuições,Parque amplo muito bem conservado. Ótimo para prática de esportes e passear com a família. Cuidado nos dias após chuva pois alagada bastante,Feita em 30 de março de 2016,Muito bonito
Emanuelle B,"Curitiba, PR","Eu adoro esse parque porque você pode fazer corridas, beber uma cerveja, fazer churrasco, levar o cachorro, enfim é completo.",Feita em 29 de março de 2016,Maravilhoso
Bruno P,11 contribuições,"Para caminhar, andar de bike e fazer ótimas fotos. Um dos parques mais bonitos da cidade. Vale a pena ",Feita em 29 de março de 2016,Perfeito
jdrehmer,"São João, PR","Ótimo lugar para passeio, maravilhoso, lugar adorável para passar com toda a família recomendo a todos",Feita em 29 de março de 2016,"Lugar maravilhoso muito bom lugar otimo para levar a familia, muito agradavel otimo lugar para passeio"
moreto62,"Curitiba, PR","lugar VERDE , BONITO E TRANQUILO , Adoramos caminhar pelo parque New Yorker's wish the have this park in New York",Feita em 29 de março de 2016,"lugar VERDE , BONITO E TRANQUILO"
juzolet,"Canoas, RS","Parque Maravilhoso, ótimas paisagens, linda fotos, ótima opção para passeios em família, e exercício físicos.",Feita em 29 de março de 2016,Parque Maravilhoso
Jeferson D,"Curitiba, PR","É um dos parques mais conhecidos de Curitiba. O maior volume de pessoas é no final de semana, pois tem espaço para passear com cachorro, andar de bicicleta, roller, correr. Passeio muito gostoso  para ir com a familia",Feita em 29 de março de 2016,Lindo
_nidance,"Mossoró, RN","Fiz um passeio com uns amigos. E amei conhecer-lo. É um ótimo lugar para praticar atividade física, para conversar, fazer um piquenique, além de ter uma linda paisagem e muitas capivaras.",Feita em 29 de março de 2016,Amo esse parque
75manuela333,"Curitiba, PR","O parque Barigui é o melhor lugar para fazer exercícios, ver gente bonita, além de ser um parque que atualmente está super sinalizado para todos os tipos de esportes.",Feita em 29 de março de 2016,Melhor lugar para fazer exercícios
ErlaniSilva,"Santiago, Chile","Em Curitiba os parques são um espetaculo a parte, este é muito lindo e agradável para fazer uma boa caminhada ou mesmo fazer um pequenique e ler um bom livro.",Feita em 29 de março de 2016,Delícia
AlexxxxCS,"Curitiba, PR","Ponto turístico muito famoso , com belo lago e ótima pista pra exercícios. Bem frequentando,  porém em dias de chuva forte sofre alagamento. O cheiro do lago é dos melhores devido a poluição emitida pelas casas ao redor.",Feita em 29 de março de 2016,Avaliações 
Geraldo1958,"Olinda, PE","No  parque Barigui você pode ter várias opções de usufruir,  passear com a família. É um parque que tem equipamentos de ginástica, sede campestre, churrasqueiras, restaurante, quadras poliesportivas, quiosques, Museu do Automóvel, Estação Maria Fumaça, parque de exposições, parque de diversão e pista de bicicross. O Parque  abriga ainda a  sede da Secretaria Municipal do Meio Ambiente, enfim, um parque que você pode ficar o dia inteiro sem monotonia. Bem frequentado, em sua maioria por curitibanos com seus familiares e turistas nacional e estrangeiros. É um passeio que com toda a certeza eu recomendo.",Feita em 29 de março de 2016,Curtindo a natureza de Curitiba
gizele f,"Curitiba, PR","lugar maravilhoso, otimo para praticar esportes como: correr, andar de bike, jogar voltei e futvolei ou simplesmente relaxar. ",Feita em 29 de março de 2016,Excelente para pratica de esportes
Rosana Demétrio Costa,"Pato Branco, PR","Ótimo pra pedalar,  caminhar,  namorar,  tomar um chopp e curtir o por do sol..natureza exuberante,  fauna composta desde pássaros, patos à capivaras e Jacaré.. ",Feita em 29 de março de 2016,Lindooo lugar 
PamellaSctt,"Curitiba, PR","Muito bom para as tardes de domingo, fazer caminhadas ou apenas ficar sentada na grama, muito agradável.",Feita em 29 de março de 2016,Parque ótimo
Juliana L,"Balneário Camboriú, SC","resolvemos morar perto desse maravilhoso parque, pois é o lugar que mais frequentamos em Curitiba. Lugar lindo cheio de energia boa",Feita em 29 de março de 2016,Parque preferido da nossa familia
Mariana C,"Londrina, PR","Achei muito bonito, limpo, bem cuidado. ótima opção para lazer e atividades físicas. quem passar por Curitiba, vale a pena passar algumas horas no parque.",Feita em 28 de março de 2016,ótima opção de lazer.
julinhaklein,"João Pessoa, PB",lindo parque! ótimo para fazer caminhada ou piquenique com a família. o lago e lindo e a vista também.,Feita em 28 de março de 2016,"""lindo"""
Victor D,"São Paulo, SP","É o maior de todos, o que tem mais opções de lazer desde churrasqueira, parquinho, shows, restaurantes, um estacionamento gigantesco, ou seja é imenso, este parque é o preferido dos curitibanos que sempre no domingo se encontram em massa nesse lugar, muita gente bonita, muita família e muito esporte...",Feita em 28 de março de 2016,O principal parque da cidade
Fernanda2092,"Recife, PE","Parque ideal para a prática de atividades físicas e passeios, bastante agradável e arborizado, recomendo a visita para turistas.",Feita em 28 de março de 2016,Ideal para praticar atividade física
Jociane A,"Curitiba, PR","O parque é muito grande! Ótimo para passeios com família e amigos. Para quem gosta de praticar corrida, com certeza é um dos melhores parques para se treinar.",Feita em 28 de março de 2016,Ótimo para passeios!
Jeanemarini,"São Paulo, SP","O parque tem localização de fácil acesso e permite aos visitantes fazer o que gosta em termos de lazer: leitura tranquila, caminhada, corrida, passeio com a família, etc. Estacionamentos fáceis e uma excelente forma de ter contato com os moradores da cidade!",Feita em 28 de março de 2016,"Passeio super agradável, com capivaras e muita gente bonita!"
Rafaela L,6 contribuições,"Otimo lugar para ficar tranquilo e aproveitar a paisagem, muito bom pra quem gosta de correr, fazer caminhadas, pedalar e se arriscar num patins, sem falar nao atraçao principal que sao as capivaras, uma graça.",Feita em 28 de março de 2016,lazer
MarcelaVasconcellos,"Rio de Janeiro, RJ","Bom a caminhar, picnic, admirar os lagos, dar comida pros patos, fazer churrasco...aproveitar um dia de sol com a família!",Feita em 28 de março de 2016,Para os fãs da vida boa e esportes!!
Alyson L,"Curitiba, PR","O Parque Barigui é um dos lugares mais agradáveis de Curitiba, usado para relaxar e para praticar exercícios. Nos dias de tempo bom é comum lotar ao cair da tarde. Tem uma boa estrutura e uma lanchonete muito boa a beira do lago.  ",Feita em 28 de março de 2016,Lugar agradavel
simoni F,"Curitiba, PR","Ótimo lugar para relaxar e fugir um pouco do caos do cotidiano. Em meio ao agito da cidade, o parque proporciona um momento de paz!",Feita em 28 de março de 2016,Um encontro com a paz
Andre Soares,"Belo Horizonte, MG",O parque Barigui é ótimo para quem quer fazer aquela caminhada relaxante pela manhã. Um espaço verde em meio a cidade.,Feita em 28 de março de 2016,Um parque ideal para caminhadas matutinas
Carolyne S,7 contribuições,"Se você procura um lugar para correr, fazer caminhada, andar de bicicleta/skate/patins, o Parque Barigui é melhor local para isso. No entanto, também é um ótimo lugar para fazer um piquenique.",Feita em 28 de março de 2016,Um dos melhores parques de Curitiba
Noellebergamo,"Curitiba, PR","Esse é o parque mais famoso de Curitiba, é amplo, bem arborizado, com diversos ambientes para todo o tipo de lazer, para curtir com a família toda!",Feita em 28 de março de 2016,Lindo!
Taina S,"Timbó, SC","Excelente parque, ótimo para caminhada e corrida ao redor do lago. Podemos avistar capivaras e patos e muitas pessoas passeando com cachorros. Um passeio para toda a família, de todas as idades. Melhor ir em bem equipado, com água, roupas leves e tênis apropriado para caminhar. Não deixem de passar no Museu do Automóvel, que fica do outro lado da rua do Parque, e também no Shopping Barigui, que é lindo!",Feita em 28 de março de 2016,Muito lindo!
Vincent_RS,"Florianópolis, SC","Parque grande, bastante agradável, com muita gente se exercitando e passeando. Tem animais (capivaras e pássaros) e muita paisagem bonita. Aproveite a caminha/o passeio e esqueça seus problemas, se é que você tem.",Feita em 28 de março de 2016,Lugar para esquecer o mundo agitado
Fernanda S,"São Paulo, São Paulo, Brazil","O parque é enorme, com uma variedade de animais que não é costumeiro ver em uma cidade grande. Inspirador para fazer um piquenique, descansar ou correr.",Feita em 28 de março de 2016,Parque para passar o dia descansando
Henrique Barthem,"Rio de Janeiro, RJ",O parque é a síntese do estilo de vida curitibano. Serve para prática de exercícios físicos e descanso ao ar livre.,Feita em 28 de março de 2016,Parque fantástico
Francisco A,"Curitiba, PR","O Parque Barigui é uma referência de espaço verde m Curitiba, além de ser belo oferece opções variadas para prática de caminhadas, corridas, passear com a família, etc.",Feita em 28 de março de 2016,O Parque mais tradicional de Curitiba
Cybercop2015,"Curitiba, PR","Otimo local para quem gosta de viver alguns momentos junto a natureza, ótima para quem gosta de caminhar e respirar um ar puro, local ideal para todas as idades, conta com pistas de caminhadas, pratica de cooper e pista para bykes, todas individuais, parquinho para crianças, canchas para praticas esportivas (basquete,futebol de salão) canchas para pratica de volei, peteca e outras atividades esportivas.",Feita em 28 de março de 2016,Cartão Postal de Curitiba
Vinicius T,"Curitiba, PR",Otimo lugar para andar de patins e skate. Otima vista com animais silvestres como capivaras e esquilos!,Feita em 28 de março de 2016,Parque Barigui
Rodrigo R,"Rio de Janeiro, RJ","é bom para relaxar, mas nada demais a outros parques da regiao, quem esta a visita a cidade é perca de tempo ir",Feita em 27 de março de 2016,nada demais
Viagem Cult,"Buenos Aires, Argentina",Esse é o melhor parque de Curitiba e o lugar perfeito para uma corrida no fim da tarde ou no comecinho da manhã. Só evite ir nos fins de semana de tarde porque fica lotado.,Feita em 27 de março de 2016,Para corrida
Jetic,"Curitiba, PR","Acho um parque maravilhoso . Lindo e bonito . Grande , um visual incrível. Ideal para praticar esportes . Para passear com seu dog . Eu amo aqui ",Feita em 27 de março de 2016,Lindo Parque
